author_id,created_at,text
28644226,2025-08-12T11:29:00.061235+00:00,"This is one of the classiest ghost town books I've seen. Eberhart writes about roughly 150 towns that were once in existence (most had post offices at one time), all located along the I-25 corridor or east of there on the high plains. He gi"
51167656,2025-08-12T11:29:00.209341+00:00,"According to the author of this book there was a discussion one day among some friends as to why nobody had ever put together a book of ghost stories from the Georgia coast and the islands. After some thought, Mr. Farrant decided that he wo"
50948326,2025-08-12T11:29:00.352049+00:00,"My only complaint is that Ms. Williams has not put out another book of poetry since this fine collection, the winner of the May Swenson Award for a first-timer.  Other readers seem to view her work as trite over-workshopped craftsmanship; i"
25159186,2025-08-12T11:29:00.460000+00:00,I Lived in Colorado Springs just down the road from focas on the family for several years and the review I read about what James Dobson was saying struck me as funny. This man claims to be a godly and rightgious man hiself yet he is only in
53084107,2025-08-12T11:29:00.545885+00:00,"In a way, I'm glad I moved out of Detroit before I read Lowell Cauffiel's true crime book, \\""Masquerade.\\""  I spent most of my career working, going to school, and socializing in and around Cass Corridor, which is where this book's charac"
52291152,2025-08-12T11:29:00.648833+00:00,"I'm still reading this book, but I wanted to respond to a couple of comments made by the reader who gave the book one star.  He derides the author for describing Fort Pillow as \\""crescent-shaped.\\"" The reviewer scornfully claims that the"
39104034,2025-08-12T11:29:00.735985+00:00,"I see I'm not alone in thinking this book is fabulous! I thought that JR. Ward's approach to vampires was fresh and believable. I fell for every word hook, line and sinker and I really fell hard for the characters she created. There aren't"
37435761,2025-08-12T11:29:00.821815+00:00,"Siri Mitchell is officially my favorite author! Her characters are true-to-life, but they are not too good to be true. I'm tired of \\""perfect\\"" people populating books. Siri's wonderful sense of humor is woven throughout the book. I laugh"
23494730,2025-08-12T11:29:00.924706+00:00,"Someone, the publicist, Morrison, the subject herself, a fan or a relative is posting 5-star fake reviews here and having any negative reviews pulled. Shame.     Now we get an insight into what Tony Hendra possibly has had to deal with."
12084732,2025-08-12T11:29:01.009836+00:00,"October 13, 2005  Reviewer: RoseKnight \\""RoseKnight\\"" (Memphis, TN) - See all my reviews I am a Country Singer who loves to make soap the most of all crafts. I have bought Mabel White books for the last five years and they have taught me"
22426551,2025-08-12T11:29:01.096404+00:00,This is a great book. Beautifully designed and written by people with a passion for cottages and cottage style and the knowledge to match. It made me think of the cottage I went to as a child with my grandparents and inspired me to bring so
33137190,2025-08-12T11:29:01.184113+00:00,"I'm amazed that people can write so much about procrastination! Surely this tells you something... procrastinaters unite or what! No stress, no procrastination. Simple."
14510483,2025-08-12T11:29:01.274237+00:00,This book might be for hurricane kids but it will touch the hearts of all. With this book everyone wins. You get a wonderful read and 30% of the proceeds go towards kids affected by hurricanes. I enjoyed my copy and I'm an adult. I passed i
