author_id,created_at,text
49368102,2025-08-12T11:39:00.215916+00:00,David Unwin's new introduction to pterosaurs brings the unsung flying reptiles of the Mesozoic from backstage of the dinosaurs into the spotlight.  His coverage of their natural history and biology reveals that they were not somewhat awkwar
12403388,2025-08-12T11:39:01.805831+00:00,"I was a big fan of the original Premonitions novel, and had originally figured that Jordan Cray would have a difficult time topping herself.  Sequels that outstrip their successors are so rare and hard to come by, it's such a refreshing bre"
12119076,2025-08-12T11:39:02.207147+00:00,"This book had its pros and its cons. I found it more interesting from an abstract, symbolic, 'flashback to those thought provoking discussions in freshman-lit' kind of way. There was the modern day Romeo and Juliet angle, the commentary on"
25865568,2025-08-12T11:39:03.581482+00:00,This book speaks a lot of truthful ideas on over all health and a diet that works to revitalize the bodies metabolism. So much so I have started research into the diet hoping I can reach the same results. If anyone is interested I found thi
14914833,2025-08-12T11:39:04.605773+00:00,I was delighted to see this particular title listed among your Owald Chambers books for sale. I have devoted 15 years to researching and writing about the Biblical roots and influences in early A.A.'s Christian Fellowship. And no one can fu
49789677,2025-08-12T11:39:04.750934+00:00,"I studied Motorola HC16s in college eight years ago using assembly, and took two terms of C programming (non-embedded) and put both on the shelf since. Almost a decade later, I bought Pardue's book to get back into programming and electroni"
38120840,2025-08-12T11:39:04.840507+00:00,"I found this book very informative, inspiring and motivational.  I have been gardening for 7 or 8 years (started when corporate America was killing me)just for relaxation.  Now I am retired and have a very big garden, but more than my famil"
17249564,2025-08-12T11:39:04.932513+00:00,"Great book for new, creative and fun ideas. Would have liked more pictues of items and birds, but \\""Oh well\\"". Still a good deal. Even if you make lots of toys for your feathered friends already, you will for sure find new inspiration her"
52923690,2025-08-12T11:39:05.024330+00:00,"This is a rollicking romp of an adventure novel with a science fiction skeleton -- or maybe it's the other way around.  The action ranges from China to Washington, D.C. to the Olympic rain forest and points in between, and the story is told"
28644226,2025-08-12T11:39:05.118537+00:00,"A modern fable set in NYC during the darkest days of the Depression. A shopkeeper who has lost everything, a violinist, and a prostitute with a heart of gold end up living in a toolshed in Central Park. They scrape by, befriend an older cou"
37656274,2025-08-12T11:39:05.206155+00:00,"Despite some of the drawbacks to the Search/Viewer interface and the non-searchability of the text itself, this is an invaluable resource. It's worth the price for the fiction and poetry alone, thousands of them that would cost hundreds if"
50416195,2025-08-12T11:39:05.294887+00:00,A sought-after a plastic surgeon travels to Haiti to try to make sense of his son's death. A jilted woman's search for meaning to her empty existence takes her to a Haitian Christian orphanage. Their journeys coincide in a heart-touching ta
27952807,2025-08-12T11:39:05.554833+00:00,"The paper binding and the brevity of the book content produce a light weight, easy to carry reference tool.  At times, the volume is too brief, and I need to refer to the full volume I keep at home."
50823603,2025-08-12T11:39:05.689522+00:00,"I really, really liked this book!  The writing style is so easy to read and to follow the author's lines of reasoning.  I'm now convinced to favor radiation over surgery, although I hope I never have to make the decision.  I've already reco"
53058973,2025-08-12T11:39:05.829448+00:00,"This is the first book my daughter has put on her \\""heavy rotation\\"" list!  Always a milestone!  This is such a sweet and simple story of a little girl playing hide and seek with her brother.  He hides inside a paper bag, and she notices"
35502442,2025-08-12T11:39:05.917542+00:00,"This is one of those books that one finds hard to put down.  They're plenty of facts, details, and just how their murders were carried out by a truely bloodthursty mob of killers. <br />I was disappointed that the author left out any hint o"
12115804,2025-08-12T11:39:06.002714+00:00,To survive the upbringing described in How To Cook Your Daughter makes Jessica Hendra an exceptional person.  To relate it in such a compelling manner makes her an exceptional writer.  This remarkable memoir brings extraordinary insight to
17912805,2025-08-12T11:39:06.086711+00:00,"This is extremely helpful in putting things in chronological order and combining scriptures from different areas of the Bible to put it all together in regard to that person, etc.  Being divided in daily readings is also helpful and the ins"
33993847,2025-08-12T11:39:06.232941+00:00,"As much as I enjoyed Arsenault's first book \\""Spked!,\\""  this was even better as there wasn't a slow spot in it.  Eddie is a wonderful protagonist, realistic, and introspective. He loves his coffee and cat, General VonKatz.  There are int"
